event_id,user_id,org_id,event_timestamp,transformation_type,input_word_count
tt_emg6yns6uo1i,user_0165,org_012,2025-11-15 14:11:00+0000,bulletise,587
tt_4nl9bxbk1f7f,user_0073,org_006,2025-10-26 13:17:00+0000,bulletise,321
tt_0hham8n47chx,user_0128,org_009,2025-10-30 18:10:00+0000,bulletise,473
tt_uovyy0yub44v,user_0174,org_013,2025-11-12 12:26:00+0000,rewrite,312
tt_5mj9dq5e90b7,user_0074,org_006,2025-11-16 18:48:00+0000,improve_clarity,326
tt_p5ejrsbblbad,user_0016,org_001,2025-11-28 14:31:00+0000,expand,405
tt_ngjt9s8ax2n8,user_0309,org_022,2025-10-15 09:52:00+0000,bulletise,117
tt_kuw8gb12lrz9,user_0143,org_010,2025-10-29 09:12:00+0000,bulletise,642
tt_977rx288kj1k,user_0312,org_023,2025-11-24 16:31:00+0000,improve_clarity,61
tt_am1y23zrp5ls,user_0177,org_013,2025-10-17 19:29:00+0000,improve_clarity,284
tt_llwxui06ebd3,user_0351,org_025,2025-09-18 19:46:00+0000,expand,526
tt_knjfv3hfiurq,user_0187,org_013,2025-11-04 12:54:00+0000,tone_change,73
tt_qovrt88l31i3,user_0060,org_005,2025-10-06 08:44:00+0000,improve_clarity,300
tt_1idhx7m61qbq,user_0164,org_012,2025-11-05 12:13:00+0000,tone_change,68
tt_v3kgf5g5jk73,user_0124,org_009,2025-11-01 19:55:00+0000,bulletise,654
tt_alrodujznux3,user_0343,org_025,2025-10-22 16:03:00+0000,expand,162
tt_msyfi26hpx8n,user_0094,org_008,2025-09-04 09:20:00+0000,bulletise,523
tt_hizxxhutlh8v,user_0113,org_009,2025-11-05 10:56:00+0000,tone_change,632
tt_869taxoaebc0,user_0192,org_014,2025-11-17 14:25:00+0000,rewrite,609
tt_qdlkemd8oy31,user_0148,org_011,2025-11-16 14:56:00+0000,shorten,27
tt_ion606g566y1,user_0108,org_008,2025-11-28 16:57:00+0000,summarise,65
tt_990bexy6g0gv,user_0140,org_010,2025-10-11 16:20:00+0000,tone_change,572
tt_eh915du553p3,user_0226,org_016,2025-10-26 18:05:00+0000,shorten,689
tt_z5gy200w0knw,user_0223,org_016,2025-11-26 18:37:00+0000,bulletise,547
tt_2db5b2ogcur2,user_0174,org_013,2025-11-09 17:17:00+0000,tone_change,633
tt_8ei3de5eh863,user_0175,org_013,2025-11-15 13:02:00+0000,summarise,192
tt_q1qoq21krvgr,user_0249,org_018,2025-11-16 19:26:00+0000,shorten,144
tt_fzs5xmgsffdb,user_0171,org_013,2025-11-13 07:46:00+0000,rewrite,375
tt_kaldktrpv7pk,user_0242,org_018,2025-11-14 09:08:00+0000,rewrite,292
tt_1szfw98maq13,user_0349,org_025,2025-10-04 14:06:00+0000,rewrite,253
tt_abmkthqfb9u7,user_0158,org_012,2025-10-26 09:05:00+0000,shorten,633
tt_wid0mrkmts49,user_0198,org_015,2025-11-24 15:22:00+0000,tone_change,298
tt_88k6pvkykb1u,user_0223,org_016,2025-11-13 19:06:00+0000,shorten,624
tt_p9ysqpwiz61z,user_0158,org_012,2025-11-19 13:20:00+0000,shorten,488
tt_j18v4bkf4osa,user_0309,org_022,2025-11-22 09:37:00+0000,tone_change,581
tt_r13sgh488mqq,user_0144,org_010,2025-09-30 14:55:00+0000,improve_clarity,281
tt_ps5latfqth53,user_0296,org_022,2025-10-30 15:32:00+0000,expand,41
tt_5tfmd4vl5x9n,user_0240,org_018,2025-11-18 09:49:00+0000,improve_clarity,241
tt_ei1di0ubdakd,user_0123,org_009,2025-11-14 14:28:00+0000,shorten,377
tt_siyo8g1bjxof,user_0193,org_014,2025-11-13 11:11:00+0000,summarise,402
tt_iujuoyb2a6mf,user_0203,org_015,2025-11-01 13:09:00+0000,tone_change,530
tt_xh1e95cjvfax,user_0262,org_020,2025-11-01 18:55:00+0000,improve_clarity,76
tt_dypkn69bdh5r,user_0031,org_002,2025-11-06 14:54:00+0000,summarise,410
tt_nmeu1xu3rbf3,user_0174,org_013,2025-11-09 12:11:00+0000,shorten,435
tt_79o19gjhpuja,user_0254,org_019,2025-10-30 09:43:00+0000,summarise,339
tt_jtnfmkzb6u65,user_0237,org_018,2025-10-29 09:36:00+0000,improve_clarity,645
tt_3bmonk1zgm4f,user_0100,org_008,2025-11-04 13:28:00+0000,bulletise,429
tt_f19rdbkkmpum,user_0203,org_015,2025-10-17 17:35:00+0000,expand,552
tt_j2xo07mggbei,user_0293,org_022,2025-10-01 07:11:00+0000,rewrite,511
tt_5gpyb20435so,user_0311,org_023,2025-11-29 11:54:00+0000,expand,169
tt_4su6i1n7v7a6,user_0060,org_005,2025-11-21 15:46:00+0000,bulletise,21
tt_vvoofiihefog,user_0031,org_002,2025-11-02 09:46:00+0000,summarise,657
tt_mzvttxo2fi95,user_0016,org_001,2025-10-28 10:29:00+0000,improve_clarity,250
tt_2zbrd399q68r,user_0004,org_001,2025-11-08 07:27:00+0000,shorten,256
tt_65s2v2hnzbqf,user_0145,org_011,2025-11-10 12:14:00+0000,improve_clarity,405
tt_duaibmk83aw4,user_0088,org_007,2025-11-04 13:27:00+0000,tone_change,637
tt_y0d89ra2bfhs,user_0128,org_009,2025-11-23 15:51:00+0000,improve_clarity,318
tt_zoa44lpaxlm0,user_0229,org_017,2025-11-27 17:07:00+0000,summarise,350
tt_rktv3fvqpp2w,user_0136,org_010,2025-10-25 18:00:00+0000,bulletise,634
tt_r8o0pmlswojk,user_0291,org_021,2025-11-10 11:58:00+0000,improve_clarity,63
tt_v7agz632m0rb,user_0249,org_018,2025-11-12 11:15:00+0000,shorten,174
tt_kikwr45g1rec,user_0064,org_005,2025-11-15 08:57:00+0000,bulletise,336
tt_p61hzl3se4ww,user_0076,org_006,2025-10-03 18:07:00+0000,tone_change,462
tt_5m6jcygne6qe,user_0073,org_006,2025-11-10 09:55:00+0000,expand,155
tt_ct0s08t06iti,user_0208,org_016,2025-10-15 12:09:00+0000,rewrite,97
tt_iqqgjrwxla6k,user_0291,org_021,2025-11-01 16:04:00+0000,improve_clarity,516
tt_b4wmaty921ej,user_0288,org_021,2025-10-02 15:33:00+0000,summarise,687
tt_bf3kscnlhjnx,user_0028,org_002,2025-10-27 16:13:00+0000,tone_change,263
tt_3yb9pi1gic4l,user_0064,org_005,2025-11-06 09:37:00+0000,summarise,106
tt_7d4qz6h8px42,user_0263,org_020,2025-11-04 17:45:00+0000,summarise,654
tt_pslita08wr6d,user_0222,org_016,2025-11-14 07:51:00+0000,tone_change,233
tt_pu23lpqw0xhg,user_0341,org_025,2025-11-24 12:30:00+0000,rewrite,199
tt_11hqthlpzyjx,user_0349,org_025,2025-11-11 19:28:00+0000,summarise,181
tt_g1o6h1fvgvch,user_0327,org_023,2025-09-28 08:07:00+0000,improve_clarity,551
tt_qttxwtix7rh1,user_0322,org_023,2025-10-24 12:46:00+0000,rewrite,386
tt_3m7mu98wqvvt,user_0247,org_018,2025-11-30 14:38:00+0000,rewrite,519
tt_odlaehv6yqv1,user_0304,org_022,2025-10-28 07:46:00+0000,tone_change,313
tt_esobvdww58sh,user_0316,org_023,2025-11-14 14:50:00+0000,shorten,444
tt_98cqk4ltahuk,user_0001,org_001,2025-11-16 16:38:00+0000,shorten,258
tt_hxce0d4sksxg,user_0055,org_005,2025-10-29 16:35:00+0000,improve_clarity,213
tt_m1ojezqimjzt,user_0171,org_013,2025-11-30 09:32:00+0000,tone_change,373
tt_26c3t6ewj1hs,user_0052,org_004,2025-11-26 17:10:00+0000,bulletise,120
tt_t76piv6re8iv,user_0028,org_002,2025-10-27 20:03:00+0000,rewrite,23
tt_h02c0cmeksx9,user_0030,org_002,2025-11-08 13:12:00+0000,rewrite,470
tt_bkneju2542xp,user_0040,org_003,2025-11-10 09:04:00+0000,rewrite,393
tt_9g071ztjycvq,user_0352,org_025,2025-11-24 15:33:00+0000,rewrite,546
tt_hb6pm2cetvsj,user_0355,org_025,2025-10-24 07:53:00+0000,shorten,222
tt_kph0seniyy2m,user_0226,org_016,2025-09-24 14:39:00+0000,bulletise,507
tt_t9ofjycs1okp,user_0216,org_016,2025-11-23 09:59:00+0000,summarise,157
tt_4dv0736xnxad,user_0265,org_020,2025-11-14 11:56:00+0000,tone_change,477
tt_48oxgr3dpnv2,user_0190,org_014,2025-11-19 16:13:00+0000,tone_change,330
tt_vjss9p4amhxt,user_0159,org_012,2025-11-16 16:15:00+0000,rewrite,59
tt_tz1kl6lcqpf6,user_0313,org_023,2025-11-01 15:51:00+0000,rewrite,135
tt_c2w7s3tzuej2,user_0031,org_002,2025-11-05 07:40:00+0000,bulletise,655
tt_ndcu719dz11s,user_0059,org_005,2025-11-29 12:49:00+0000,shorten,99
tt_cvhjobeifdd5,user_0009,org_001,2025-11-05 08:19:00+0000,summarise,215
tt_yyb7ze7f7oe4,user_0342,org_025,2025-10-24 13:43:00+0000,summarise,398
tt_0knxsdz415rl,user_0129,org_009,2025-11-25 10:43:00+0000,expand,424
tt_067aipybnlsw,user_0267,org_020,2025-11-24 09:43:00+0000,summarise,492
tt_n3rvdcyid9qf,user_0264,org_020,2025-11-07 15:09:00+0000,summarise,254
tt_ighnqpjnnyfy,user_0320,org_023,2025-11-11 08:26:00+0000,improve_clarity,209
tt_z2pu78iy3x5g,user_0305,org_022,2025-11-13 08:16:00+0000,expand,519
tt_941b0bxosamc,user_0139,org_010,2025-10-12 09:45:00+0000,rewrite,685
tt_gwlj6iw5g2zs,user_0016,org_001,2025-10-03 13:44:00+0000,summarise,632
tt_hgn109dzukgb,user_0032,org_002,2025-11-29 15:07:00+0000,tone_change,124
tt_bg3qxac82h7l,user_0231,org_017,2025-10-29 15:48:00+0000,improve_clarity,608
tt_sq9cmuyuacgk,user_0117,org_009,2025-11-22 16:21:00+0000,bulletise,291
tt_5yg8oy1oyt5p,user_0319,org_023,2025-11-21 09:54:00+0000,tone_change,196
tt_z4nfirbx6zg2,user_0254,org_019,2025-10-27 14:38:00+0000,expand,192
tt_yfdm9wdfowdo,user_0280,org_021,2025-11-16 16:33:00+0000,bulletise,251
tt_v6a3geg81wih,user_0180,org_013,2025-11-30 09:15:00+0000,expand,568
tt_m110i7x9ojok,user_0141,org_010,2025-11-07 15:16:00+0000,shorten,186
tt_0lypjxrxui16,user_0094,org_008,2025-09-26 13:50:00+0000,improve_clarity,122
tt_qm7757fpndp4,user_0073,org_006,2025-10-28 13:20:00+0000,tone_change,292
tt_u7p7rul4569w,user_0147,org_011,2025-11-19 09:13:00+0000,shorten,559
tt_i4irqo0cy9es,user_0343,org_025,2025-11-19 12:59:00+0000,improve_clarity,35
tt_xlm3pj7aofg3,user_0154,org_011,2025-09-26 10:26:00+0000,rewrite,51
tt_och3u000nbs8,user_0086,org_007,2025-10-15 16:09:00+0000,expand,354
tt_bsxtdyjuipa9,user_0340,org_025,2025-10-31 18:49:00+0000,improve_clarity,191
tt_h6k0era1o7rs,user_0222,org_016,2025-10-08 13:06:00+0000,expand,526
tt_t2wsfnrwmlxk,user_0047,org_004,2025-10-31 15:21:00+0000,summarise,485
tt_g4j6bayrzw2d,user_0044,org_004,2025-10-13 08:19:00+0000,rewrite,392
tt_dl37c1n2uf3r,user_0192,org_014,2025-10-16 10:26:00+0000,expand,88
tt_vctsafcqlx0h,user_0211,org_016,2025-11-14 19:05:00+0000,rewrite,192
tt_a7havssltxjp,user_0040,org_003,2025-11-09 14:22:00+0000,rewrite,591
tt_dd0ckpfzz31f,user_0218,org_016,2025-10-17 16:59:00+0000,shorten,462
tt_gwzsxrjabcya,user_0048,org_004,2025-11-02 14:30:00+0000,tone_change,226
tt_siygavnk5paw,user_0272,org_020,2025-11-10 17:10:00+0000,improve_clarity,78
tt_e0gq5c48xkwi,user_0283,org_021,2025-10-27 08:04:00+0000,tone_change,17
tt_ae7ere44neql,user_0179,org_013,2025-11-19 14:45:00+0000,summarise,106
tt_8fb4mjm4m1tu,user_0293,org_022,2025-10-11 13:24:00+0000,tone_change,615
tt_7o8xek6kcu06,user_0316,org_023,2025-10-23 13:17:00+0000,summarise,265
tt_nzylkiljx4x3,user_0228,org_017,2025-10-25 16:57:00+0000,bulletise,649
tt_kcq0y19rru30,user_0173,org_013,2025-10-29 09:40:00+0000,expand,425
tt_mkcc0450xtxo,user_0028,org_002,2025-10-21 11:30:00+0000,tone_change,203
tt_z9a6kantxfm0,user_0220,org_016,2025-11-20 13:18:00+0000,improve_clarity,118
tt_ruz3j2lhn1y3,user_0223,org_016,2025-10-08 15:30:00+0000,tone_change,529
tt_xq0l7ofjbxu8,user_0342,org_025,2025-11-27 13:03:00+0000,rewrite,306
tt_mbw8dp6lcgld,user_0289,org_021,2025-11-05 08:14:00+0000,improve_clarity,600
tt_3pjsdh1xc3e5,user_0149,org_011,2025-10-19 14:23:00+0000,tone_change,353
tt_qmbheo065eys,user_0206,org_015,2025-11-29 15:36:00+0000,improve_clarity,64
tt_njw2euqg0rtk,user_0218,org_016,2025-11-30 08:30:00+0000,summarise,327
tt_jponzv1v8pde,user_0021,org_002,2025-11-30 18:42:00+0000,bulletise,526
tt_0dkd9ublt9cd,user_0183,org_013,2025-11-02 20:00:00+0000,summarise,274
tt_jtga0tz8l1vk,user_0207,org_016,2025-11-22 17:34:00+0000,rewrite,220
tt_kbva192n505t,user_0249,org_018,2025-11-04 18:16:00+0000,summarise,614
tt_bceuxpjmvjj9,user_0152,org_011,2025-11-21 16:10:00+0000,expand,685
tt_zgj3xcelgrxn,user_0262,org_020,2025-10-24 07:29:00+0000,tone_change,240
tt_82zrj27nqyto,user_0033,org_002,2025-11-24 17:32:00+0000,summarise,188
tt_q9cy9bxe99b6,user_0242,org_018,2025-11-23 19:37:00+0000,expand,488
tt_58w7veswnp8b,user_0293,org_022,2025-10-15 17:47:00+0000,bulletise,464
tt_mljt77onn0m1,user_0214,org_016,2025-11-02 07:22:00+0000,rewrite,401
tt_090u8nukezj7,user_0156,org_012,2025-11-15 11:03:00+0000,bulletise,696
tt_ml9xr9pl8orb,user_0201,org_015,2025-11-28 16:25:00+0000,rewrite,433
tt_hfqa1vd4b184,user_0074,org_006,2025-11-20 10:38:00+0000,improve_clarity,514
tt_xe4a52pihfkw,user_0066,org_005,2025-10-22 13:40:00+0000,shorten,192
tt_mohwkazmjlkb,user_0124,org_009,2025-11-02 15:03:00+0000,expand,24
tt_jvaykxb4ku3g,user_0154,org_011,2025-09-14 09:56:00+0000,expand,677
tt_eaha315iwpol,user_0283,org_021,2025-11-10 15:26:00+0000,tone_change,119
tt_rup5fi5cuqqc,user_0136,org_010,2025-10-25 07:26:00+0000,shorten,535
tt_mfbs941dopsh,user_0213,org_016,2025-11-08 09:51:00+0000,improve_clarity,449
tt_z2cyaedl3uec,user_0137,org_010,2025-11-29 10:04:00+0000,improve_clarity,556
tt_7qp1hnhav3yb,user_0158,org_012,2025-11-21 18:55:00+0000,shorten,624
tt_0v2tmo6jpe1u,user_0096,org_008,2025-09-19 07:40:00+0000,improve_clarity,527
tt_obhq3ullaics,user_0354,org_025,2025-10-25 11:24:00+0000,expand,72
tt_yan1ug4t218e,user_0128,org_009,2025-11-15 14:10:00+0000,improve_clarity,129
tt_ejnxe885gy27,user_0156,org_012,2025-11-05 08:11:00+0000,bulletise,365
tt_3ygs0ge5exq0,user_0038,org_003,2025-10-04 14:46:00+0000,rewrite,433
tt_mc394efoep9n,user_0075,org_006,2025-11-28 08:32:00+0000,summarise,572
tt_yulua9jle4xf,user_0204,org_015,2025-10-19 07:42:00+0000,expand,239
tt_du19zlnh6t5g,user_0060,org_005,2025-10-23 11:21:00+0000,bulletise,479
tt_87t2gr9o9m0c,user_0236,org_018,2025-11-17 16:50:00+0000,improve_clarity,303
tt_cfw3u5nlrrd8,user_0116,org_009,2025-11-12 13:45:00+0000,bulletise,316
tt_3n4xdvjfrr7r,user_0278,org_021,2025-10-22 11:44:00+0000,bulletise,241
tt_9d8vagv648rx,user_0222,org_016,2025-11-30 17:03:00+0000,rewrite,655
tt_izjez909o08n,user_0012,org_001,2025-11-09 10:55:00+0000,summarise,628
tt_zhvd1b4p7zzl,user_0332,org_024,2025-10-20 19:03:00+0000,tone_change,461
tt_iowqg4xusu2t,user_0354,org_025,2025-11-05 12:05:00+0000,summarise,457
tt_05n1ixhuycs2,user_0062,org_005,2025-11-30 11:19:00+0000,rewrite,162
tt_yr348w0yu5nk,user_0226,org_016,2025-11-28 13:58:00+0000,rewrite,388
tt_0ehxo6di3ooe,user_0285,org_021,2025-10-22 07:18:00+0000,shorten,357
tt_9ze1idq6w7rq,user_0146,org_011,2025-11-25 10:03:00+0000,expand,427
tt_3nw5wyr0586q,user_0294,org_022,2025-11-19 08:41:00+0000,tone_change,356
tt_zkzse9lqa6f0,user_0057,org_005,2025-11-14 12:14:00+0000,bulletise,569
tt_87p68m7f6p4y,user_0074,org_006,2025-10-29 16:21:00+0000,expand,103
tt_6fdvae1isyer,user_0007,org_001,2025-11-28 07:11:00+0000,shorten,363
tt_mjdq55p0015e,user_0041,org_003,2025-10-17 08:35:00+0000,expand,633
tt_byt6h5qqzv96,user_0120,org_009,2025-10-18 20:01:00+0000,bulletise,218
tt_rza4s0abkodc,user_0219,org_016,2025-11-20 15:00:00+0000,tone_change,230
tt_s1lnpo8zpf3j,user_0210,org_016,2025-10-18 12:16:00+0000,improve_clarity,607
tt_svb16ycw8cw7,user_0060,org_005,2025-11-09 07:00:00+0000,improve_clarity,655
tt_yjsc9rp7bbby,user_0207,org_016,2025-11-26 17:40:00+0000,summarise,146
tt_x5mpkg8y9nnd,user_0296,org_022,2025-11-06 16:00:00+0000,bulletise,615
tt_ckcjwejj577r,user_0158,org_012,2025-10-16 08:14:00+0000,expand,421
tt_7jaa94zrzrlq,user_0039,org_003,2025-10-05 20:03:00+0000,tone_change,647
tt_oj64bnv36543,user_0045,org_004,2025-10-30 07:55:00+0000,improve_clarity,152
tt_1cyjff58hhye,user_0279,org_021,2025-11-17 18:40:00+0000,improve_clarity,446
tt_nzp8ovs1iv20,user_0247,org_018,2025-09-27 14:43:00+0000,bulletise,665
tt_l85phau9l2z6,user_0171,org_013,2025-11-08 11:02:00+0000,rewrite,342
tt_3rlcs2a8y3je,user_0248,org_018,2025-09-27 12:37:00+0000,tone_change,687
tt_3z1klu2ryial,user_0096,org_008,2025-09-24 19:50:00+0000,tone_change,203
tt_hslla7k1xqk0,user_0152,org_011,2025-10-19 18:57:00+0000,improve_clarity,52
tt_ddgsru7mtds0,user_0161,org_012,2025-11-15 17:42:00+0000,improve_clarity,257
tt_sa2rhna312ly,user_0068,org_006,2025-11-19 19:54:00+0000,expand,527
tt_kwnj0d3ubovk,user_0335,org_024,2025-11-01 12:54:00+0000,rewrite,121
tt_cxdzhor1sare,user_0183,org_013,2025-10-27 18:18:00+0000,shorten,61
tt_ymkyvb83tnqc,user_0246,org_018,2025-09-16 12:24:00+0000,rewrite,406
tt_u57h3ixsz11h,user_0269,org_020,2025-10-26 15:11:00+0000,rewrite,463
tt_2r2qwfnxqzuy,user_0350,org_025,2025-11-28 13:52:00+0000,tone_change,53
tt_zuv1fkhnnk8f,user_0005,org_001,2025-11-16 17:14:00+0000,bulletise,322
tt_j8wazo28mrnr,user_0252,org_019,2025-11-18 09:15:00+0000,summarise,480
tt_o8s03pjpwtrh,user_0235,org_017,2025-11-25 11:26:00+0000,rewrite,22
tt_fqmr0sn20uw2,user_0294,org_022,2025-09-19 12:21:00+0000,expand,90
tt_fdy9r4x65nqd,user_0081,org_007,2025-11-18 16:24:00+0000,expand,380
tt_1mgzugstbucd,user_0100,org_008,2025-11-10 09:05:00+0000,rewrite,363
tt_o4bny4tieojv,user_0180,org_013,2025-11-23 09:47:00+0000,shorten,175
tt_wg2gupah55ol,user_0116,org_009,2025-11-26 14:43:00+0000,summarise,370
tt_j9wkasoi9m79,user_0174,org_013,2025-11-03 12:44:00+0000,summarise,506
tt_x1aeuexyve7l,user_0199,org_015,2025-10-18 14:22:00+0000,bulletise,586
tt_3rh5u3vvbqev,user_0016,org_001,2025-10-21 12:24:00+0000,summarise,462
tt_45z98xp4gssz,user_0191,org_014,2025-10-20 15:19:00+0000,shorten,613
tt_hl2e62igt0m1,user_0226,org_016,2025-11-28 19:52:00+0000,summarise,240
tt_49ddjo9003x0,user_0143,org_010,2025-11-07 12:55:00+0000,shorten,105
tt_bh5a6u8vdrsa,user_0164,org_012,2025-11-27 13:40:00+0000,tone_change,615
tt_laz3undviy56,user_0166,org_012,2025-11-13 11:03:00+0000,bulletise,241
tt_m0yvvqlem324,user_0155,org_011,2025-10-25 08:03:00+0000,shorten,555
tt_ajkpqkbe0tog,user_0005,org_001,2025-11-10 09:31:00+0000,shorten,106
tt_scolbqinmg0c,user_0307,org_022,2025-10-24 08:07:00+0000,shorten,473
tt_r5i1toxgkh1p,user_0338,org_024,2025-11-22 16:30:00+0000,bulletise,195
tt_bq08abwb93gn,user_0130,org_010,2025-11-30 08:50:00+0000,summarise,645
tt_c46329erve5k,user_0136,org_010,2025-10-03 08:36:00+0000,rewrite,83
tt_8mmqjgyuuiqt,user_0255,org_019,2025-11-10 14:26:00+0000,improve_clarity,649
tt_zd5waa79a4r4,user_0334,org_024,2025-11-19 11:07:00+0000,expand,124
tt_dr736i5nfmp3,user_0062,org_005,2025-11-02 08:04:00+0000,improve_clarity,556
tt_l83kkofbdn2g,user_0025,org_002,2025-10-07 08:43:00+0000,shorten,435
tt_kda24mks9vio,user_0016,org_001,2025-10-29 12:48:00+0000,summarise,354
tt_rb8oh217261e,user_0093,org_007,2025-11-16 16:52:00+0000,rewrite,688
tt_2near7i9madr,user_0220,org_016,2025-09-17 15:32:00+0000,tone_change,356
tt_rq7bag1onz32,user_0101,org_008,2025-10-07 10:45:00+0000,expand,295
tt_2rdypawghaez,user_0119,org_009,2025-10-23 11:38:00+0000,expand,487
tt_f23ujlfo0e5l,user_0158,org_012,2025-11-17 15:12:00+0000,summarise,550
tt_ltho3jw6phaf,user_0135,org_010,2025-10-08 10:22:00+0000,improve_clarity,220
tt_5gsqm84kdm2q,user_0090,org_007,2025-11-14 19:00:00+0000,improve_clarity,506
tt_squm9775f2d5,user_0291,org_021,2025-10-17 09:09:00+0000,improve_clarity,194
tt_loc8usbm0o78,user_0124,org_009,2025-11-07 09:29:00+0000,improve_clarity,593
tt_w3dg06of92uy,user_0162,org_012,2025-10-24 19:23:00+0000,expand,564
tt_z0dhz9zg7xg2,user_0114,org_009,2025-10-24 16:20:00+0000,bulletise,486
tt_cs47ihx0095m,user_0168,org_012,2025-11-16 11:50:00+0000,tone_change,298
tt_msawz80gzd44,user_0312,org_023,2025-11-12 09:14:00+0000,shorten,401
tt_m3nvoedvurkx,user_0095,org_008,2025-11-05 16:21:00+0000,rewrite,223
tt_p3ajfax1cq6f,user_0006,org_001,2025-11-13 14:11:00+0000,bulletise,401
tt_6ny7ko6m0rh3,user_0114,org_009,2025-10-20 14:11:00+0000,tone_change,610
tt_ubflcji53ng4,user_0276,org_021,2025-10-06 09:13:00+0000,bulletise,294
tt_16khcv8upg1b,user_0273,org_021,2025-11-21 08:14:00+0000,rewrite,131
tt_6kt79aaxn45j,user_0019,org_001,2025-11-28 07:39:00+0000,tone_change,250
tt_m2hnpur3lyn6,user_0062,org_005,2025-10-17 14:31:00+0000,bulletise,347
tt_cnj9ylmfrbr7,user_0158,org_012,2025-10-30 08:56:00+0000,improve_clarity,58
tt_v3czbsq5mbl8,user_0022,org_002,2025-10-01 10:56:00+0000,expand,505
tt_b3r62uqmihv0,user_0329,org_024,2025-10-10 15:49:00+0000,rewrite,301
tt_v30atdqeacno,user_0210,org_016,2025-11-11 11:10:00+0000,improve_clarity,321
tt_lpw4qsmw0uhl,user_0068,org_006,2025-11-29 09:54:00+0000,summarise,28
tt_lxznknnirk3b,user_0058,org_005,2025-11-05 16:14:00+0000,shorten,114
tt_gcnsr3gwdpww,user_0094,org_008,2025-11-21 11:12:00+0000,shorten,288
tt_1qo6z0giulbs,user_0196,org_014,2025-11-07 13:22:00+0000,expand,31
tt_0glbcfx43wbh,user_0150,org_011,2025-11-23 11:13:00+0000,summarise,280
tt_08xs8ox9tnfn,user_0072,org_006,2025-11-18 11:11:00+0000,expand,209
tt_aueh0k1f0gjt,user_0110,org_008,2025-09-21 11:30:00+0000,summarise,392
tt_io61hbqt8hh1,user_0025,org_002,2025-09-22 16:50:00+0000,bulletise,578
tt_ad5xhnhpag7r,user_0316,org_023,2025-11-12 20:01:00+0000,shorten,577
tt_r4fw5hd0pcjt,user_0247,org_018,2025-11-06 15:02:00+0000,rewrite,454
tt_fhoytnma3s47,user_0308,org_022,2025-10-16 14:45:00+0000,rewrite,627
tt_1rxwg4oi1nex,user_0049,org_004,2025-11-21 08:34:00+0000,tone_change,627
tt_8k7ddbc0ceu1,user_0110,org_008,2025-09-29 13:05:00+0000,tone_change,492
tt_tfjr0w7ataaz,user_0246,org_018,2025-11-02 19:44:00+0000,shorten,27
tt_srwa0vfreded,user_0262,org_020,2025-11-26 11:59:00+0000,shorten,479
tt_352wu1ursbeo,user_0344,org_025,2025-11-23 10:20:00+0000,rewrite,531
tt_5fbg84tdfjpl,user_0069,org_006,2025-11-17 16:36:00+0000,rewrite,395
tt_w2qfu8lsz8pu,user_0046,org_004,2025-10-28 16:22:00+0000,shorten,631
tt_k2jno7j5rb74,user_0048,org_004,2025-11-28 07:33:00+0000,expand,160
tt_k929la4nez92,user_0215,org_016,2025-10-20 18:46:00+0000,shorten,336
tt_2rpvq8x1wb0s,user_0073,org_006,2025-10-27 12:14:00+0000,summarise,430
